,name,experiment,label,day,day_moment,pbs,cage,group,eye,dose,path
0,OCT_Image_RE_Circle-2017-09-15-11-42-09.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C29,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 29 A2 GP B/OCT_Image_RE_Circle-2017-09-15-11-42-09.tif
1,OCT_Image_RE_Circle-2017-09-15-11-44-35.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C29,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 29 A2 GP B/OCT_Image_RE_Circle-2017-09-15-11-44-35.tif
2,OCT_Image_RE_Circle-2017-09-15-11-44-19.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C29,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 29 A2 GP B/OCT_Image_RE_Circle-2017-09-15-11-44-19.tif
3,OCT_Image_RE_Circle-2017-09-15-11-41-52.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C29,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 29 A2 GP B/OCT_Image_RE_Circle-2017-09-15-11-41-52.tif
4,OCT_Image_RE_Circle-2017-09-15-11-42-37.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C29,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 29 A2 GP B/OCT_Image_RE_Circle-2017-09-15-11-42-37.tif
5,OCT_Image_RE_Circle-2017-09-15-11-43-38.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C29,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 29 A2 GP B/OCT_Image_RE_Circle-2017-09-15-11-43-38.tif
6,OCT_Image_RE_Circle-2017-09-15-11-42-00.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C29,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 29 A2 GP B/OCT_Image_RE_Circle-2017-09-15-11-42-00.tif
7,OCT_Image_RE_Circle-2017-09-15-11-43-19.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C29,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 29 A2 GP B/OCT_Image_RE_Circle-2017-09-15-11-43-19.tif
8,OCT_Image_RE_Circle-2017-09-15-11-44-48.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C29,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 29 A2 GP B/OCT_Image_RE_Circle-2017-09-15-11-44-48.tif
9,OCT_Image_RE_Circle-2017-09-15-11-46-27.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C29,A2,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 29 A2 GP B/OCT_Image_RE_Circle-2017-09-15-11-46-27.tif
13,OCT_Image_RE_Circle-2017-09-15-14-50-14.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C30,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 30 A1 GP C/OCT_Image_RE_Circle-2017-09-15-14-50-14.tif
14,OCT_Image_RE_Circle-2017-09-15-14-52-52.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C30,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 30 A1 GP C/OCT_Image_RE_Circle-2017-09-15-14-52-52.tif
15,OCT_Image_RE_Circle-2017-09-15-14-51-01.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C30,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 30 A1 GP C/OCT_Image_RE_Circle-2017-09-15-14-51-01.tif
16,OCT_Image_RE_Circle-2017-09-15-14-53-24.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C30,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 30 A1 GP C/OCT_Image_RE_Circle-2017-09-15-14-53-24.tif
17,OCT_Image_RE_Circle-2017-09-15-14-53-01.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C30,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 30 A1 GP C/OCT_Image_RE_Circle-2017-09-15-14-53-01.tif
18,OCT_Image_RE_Circle-2017-09-15-14-51-27.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C30,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 30 A1 GP C/OCT_Image_RE_Circle-2017-09-15-14-51-27.tif
19,OCT_Image_RE_Circle-2017-09-15-14-54-30.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C30,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 30 A1 GP C/OCT_Image_RE_Circle-2017-09-15-14-54-30.tif
20,OCT_Image_RE_Circle-2017-09-15-14-56-14.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C30,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 30 A1 GP C/OCT_Image_RE_Circle-2017-09-15-14-56-14.tif
21,OCT_Image_RE_Circle-2017-09-15-14-55-29.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C30,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 30 A1 GP C/OCT_Image_RE_Circle-2017-09-15-14-55-29.tif
22,OCT_Image_RE_Circle-2017-09-15-14-56-51.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C30,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 30 A1 GP C/OCT_Image_RE_Circle-2017-09-15-14-56-51.tif
23,OCT_Image_RE_Circle-2017-09-15-14-50-48.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C30,A1,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 30 A1 GP C/OCT_Image_RE_Circle-2017-09-15-14-50-48.tif
29,OCT_Image_RE_Circle-2017-09-14-16-37-46.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A3,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A3 GP B/OCT_Image_RE_Circle-2017-09-14-16-37-46.tif
30,OCT_Image_RE_Circle-2017-09-14-16-37-22.tif,Study C-2  ET1 17-9-1,pathological,14,-,-,C28,A3,right,-,/media/CVBLab/Proyectos/GALAHAD/INVESTIGACION/BBDD/REGH/201801/RAT OCT STUDIES/Study C-2  ET1 17-9-1/Day 14/C 28 A3 GP B/OCT_Image_RE_Circle-2017-09-14-16-37-22.tif
